Tipologia,Nome,X,Y,Indirizzo,Civ,Note,Shape Area,Shape Len,Longitudine,Latitudine
Aree verdi,alberata di corso Umberto I Santo Spirito,,,,,,1.225.783.011.000.000,116.586.020.000.000,,
Aree verdi,Aiuole piazza San Francesco d'Assisi - Largo Colombo (Piazza dei Mille),,,Lungomare C. Colombo,,,402.766.548.000.000,28.814.507.700.000,,
Aree verdi,Alberata Via V. Veneto e Via G. Priolo - Palese,,,,,,2.369.162.776.000.000,225.451.541.900.000,,
Aree verdi,Alberata Via Modugno e via Vittorio Emanuele - Palese,,,,,,256.542.078.000.000,46.437.705.300.000,,
Aree verdi,"Giardino ""Monumento ai Caduti"" - Palese",,,Via Duca d'Aosta e via Indipendenza,,,201.489.106.000.000,19.659.632.700.000,,
Aree verdi,Piazza Capitaneo - Palese,,,Piazza Capitaneo,,,214.249.595.000.000,20.506.140.000.000,,
Aree verdi,Area attrezzata a verde quartiere Catino,,,Strada Catino,,,60.878.554.000.000,13.374.072.500.000,,
Aree verdi,Area attrezzata a verde via Nicolas Green a Catino,,,Nicolas Green,,,2.200.032.538.000.000,72.067.318.400.000,,
Aree verdi,Alberata limitrofa campo sportivo- Enziteto in via Gregorio Ancona,,,,,,247.642.428.000.000,40.873.657.900.000,,
Aree verdi,Alberata Via G. Garibaldi - Santo Spirito,,,,,,578.117.852.000.000,87.801.214.800.000,,
Aree verdi,Alberata via Salvatore Tramonte,,,,,,1.630.971.329.000.000,153.588.652.500.000,,
Aree verdi,Alberata di via Pellegrini,,,Via Pellegrini,,,131.784.717.000.000,33.923.447.600.000,,
Aree verdi,Alberata viale Lucarelli,,,,,,901.571.877.000.000,192.705.713.100.000,,
Aree verdi,Alberata e isole spartitraffico viale Ennio,,,,,,1.588.990.465.000.000,124.343.474.900.000,,
Aree verdi,Alberata in via Peucetia (tratto cpmpreso tra via Masaniello e viale Magna Grecia),,,,,,441.226.783.000.000,125.299.845.900.000,,
Aree verdi,Alberata in via Peucetia tratto compreso tra viale Magna Grecia e via Salapia),,,,,,566.012.440.000.000,68.389.096.800.000,,
Aree verdi,Alberata II traversa Via Fontanelle - Via dell'Olio,,,,,,698.375.814.000.000,63.783.600.500.000,,
Aree verdi,Alberata viale Salandra,,,,,,973.548.983.000.000,142.931.040.200.000,,
Aree verdi,Alberata in via Papa Giovanni XXIII,,,,,,448.180.814.000.000,137.153.375.500.000,,
Aree verdi,"Aiuole di via S. Matarrese, via Redi e della trav. di via C. Rosalba al civ. 49/d",,,,,,668.767.025.000.000,75.386.657.900.000,,
Aree verdi,Alberi sparsi in via Camillo Rosalba,,,,,,686.652.853.000.000,99.001.070.600.000,,
Aree verdi,Alberata in via Di Venere e via Romito - Ceglie del Campo,,,,,,541.580.970.000.000,83.402.913.200.000,,
Aree verdi,Alberata di via Aristosseno,,,Via Aristosseno,,,111.353.453.000.000,21.154.383.100.000,,
Aree verdi,Alberata di via Peucetia (tratto compreso tra via Salapia e Strada Arginale),,,,,,794.348.904.000.000,95.911.806.200.000,,
Aree verdi,Area attrezzata a verde compresa tra via Caldarola e via Caduti Partigiani,,,Via Caldarola - Via Caduti Partigiani,,,141.538.977.000.000,15.052.279.800.000,,
Aree verdi,Area attrezzata a verde in via Caldarola e via Martiri di Marzabotto,,,,,,1.171.794.754.000.000,94.923.933.600.000,,
Aree verdi,Area attrezzata a verde dei fascioni laterale di via Caldarola,,,,,,5.800.598.252.000.000,394.783.732.800.000,,
Aree verdi,Giardino di via Papalia ang. via P.Carabellese,,,Via Papalia,,,297.763.066.000.000,24.591.398.000.000,,
Aree verdi,Alberata di via Caldarola ( tratto compreso tra via Martiri di Marzabotto e via Loiacono ),,,,,,1.274.662.997.000.000,126.388.698.700.000,,
Aree verdi,Pineta San Luca ( compresa tra le vie Archimede - G.Appulo - G.La Pira,,,,,,1.765.078.117.000.000,66.927.773.600.000,,
Aree verdi,Giardini della Torre - Torre a Mare,,,Piazza della Torre,,,570.272.710.000.000,34.813.077.800.000,,
Aree verdi,Giardino in viale Unita' d'Italia ( tra via Toti - Galiani - Volta ),,,,,,171.880.335.000.000,22.938.601.100.000,,
Aree verdi,Giardino di via M.C. di Savoia,,,Via Re David,,,259.415.855.000.000,25.882.623.900.000,,
Aree verdi,Alberata di viale della Repubblica,,,,,,498.863.775.000.000,140.161.822.000.000,,
Aree verdi,Giardino in viale Einaudi ( tra via Colajanni e via Salvemini ),,,,,,248.582.216.000.000,24.006.896.600.000,,
Aree verdi,Aiuole in via Amendola private,,,,,,141.716.214.000.000,22.149.654.300.000,,
Aree verdi,Alberata di via Don Luigi Sturzo e via Papa Giovanni XXIII,,,,,,617.538.135.000.000,101.753.412.000.000,,
Aree verdi,Aiuola spartitraffico di viale G. Di Vittorio,,,Via G. Di Vittorio - Largo San Marcello I -,,,457.816.338.000.000,67.142.075.300.000,,
Aree verdi,Giardino adiacente Chiesa Russa (compreso tra viale della Repubblica e corso Benedetto Croce),,,Via A. de Gasperi,,,587.195.698.000.000,58.764.266.700.000,,
Aree verdi,Alberata stradale di via Signorile,,,,,,172.268.422.000.000,24.831.997.300.000,,
